SICs,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0,5,7,39,21,29,27,34,30,29,24,20,28,30,35,35,37,36,33,40,45,51,56,52,51,53
100,0,2,5,10,12,12,12,11,11,12,11,11,6,6,6,5,9,10,12,15,16,15,14,11,10,10
1000,0,1,0,5,10,9,12,10,7,6,5,6,5,6,7,33,71,76,79,67,65,44,37,23,21,21
1040,0,4,2,11,20,17,13,14,12,6,9,10,10,9,10,18,33,34,34,35,30,34,29,27,22,21
1044,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,5,7,7,6,3,2,2,2,4,4,3
1220,0,2,0,2,4,4,4,4,3,4,5,4,1,1,2,3,3,7,7,7,7,5,5,3,4,6
1221,0,1,0,3,2,1,2,3,3,2,3,3,9,12,13,14,15,16,18,14,12,12,13,11,12,10
1311,0,14,19,74,114,110,112,106,102,95,92,83,83,97,109,127,164,161,154,165,166,168,161,129,122,121
1381,0,5,6,15,18,16,15,15,16,15,14,14,12,16,18,19,27,27,28,26,24,21,26,24,18,16
1382,0,0,1,4,5,9,7,8,4,5,3,4,3,7,7,8,20,19,19,18,18,20,17,14,11,10
1389,0,0,4,8,15,15,16,13,15,15,14,15,14,16,19,19,20,20,19,18,21,25,27,24,21,28
1400,0,2,0,7,12,13,10,12,9,6,6,7,8,6,7,12,19,18,13,13,13,14,17,19,20,20
1520,0,0,0,3,3,3,3,5,4,5,5,4,3,3,2,5,9,7,7,7,4,6,6,5,3,4
1531,0,9,13,27,34,30,27,28,26,26,25,22,23,21,19,21,20,19,17,17,18,23,24,23,22,20
1540,0,4,3,4,5,5,5,4,3,3,2,2,2,2,2,2,2,3,3,2,1,3,2,1,1,1
1600,0,3,2,5,7,8,7,6,5,5,5,5,7,7,9,10,10,10,10,9,8,9,7,7,7,7
1623,0,1,3,8,10,9,9,8,6,6,6,7,6,6,5,6,8,8,8,9,9,9,8,8,8,7
1700,0,1,3,13,15,18,20,19,14,9,8,9,8,8,7,9,11,9,9,10,9,10,9,9,9,8
1731,0,0,1,3,2,5,4,5,6,4,4,4,5,5,6,8,9,7,6,5,5,5,4,4,4,4
200,0,0,0,0,1,1,1,1,1,2,2,1,1,1,1,2,2,4,3,2,2,2,2,2,2,2
2000,0,3,2,3,4,5,6,6,8,6,6,9,9,9,8,9,14,13,13,13,17,16,13,12,14,9
2011,0,4,5,6,5,5,3,5,4,5,5,4,4,4,3,4,5,5,5,3,4,3,3,3,2,2
2013,0,1,2,6,6,7,5,6,4,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2
2015,0,5,8,10,9,8,9,7,6,6,6,6,6,5,4,4,4,4,5,3,3,3,3,3,3,3
2020,0,3,2,4,4,3,6,5,5,4,5,4,4,4,3,3,5,5,6,6,8,6,6,3,3,3
2024,0,0,1,4,6,5,5,5,2,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,1,1
2030,0,2,3,6,7,9,8,8,6,6,6,4,5,5,5,5,6,6,7,7,6,6,6,6,8,8
2033,0,3,3,6,8,6,7,7,7,7,7,6,5,3,3,3,4,3,4,2,2,2,2,2,2,3
2040,0,8,9,10,11,14,12,14,11,11,9,6,7,6,6,7,9,8,9,10,9,9,7,7,7,6
2050,0,1,3,4,5,5,4,3,3,3,2,2,1,2,2,2,2,2,2,2,1,1,0,0,1,1
2052,0,1,2,3,7,7,7,7,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2060,0,6,5,12,13,10,12,13,12,12,10,9,6,6,6,7,7,8,7,9,7,7,7,6,6,6
2070,0,1,1,1,2,3,2,3,3,3,3,4,5,5,5,5,5,5,4,4,3,4,4,4,4,3
2080,0,4,4,6,7,8,9,10,11,8,8,8,5,6,8,9,14,14,13,18,20,20,14,16,16,15
2082,0,2,2,5,12,12,10,10,10,9,9,7,7,8,7,6,4,4,4,4,4,4,5,5,4,4
2086,0,2,2,3,9,10,8,8,7,6,6,5,5,5,5,5,10,10,8,8,8,7,6,7,8,7
2090,0,3,4,7,11,12,11,11,12,11,11,11,10,11,10,14,14,11,12,11,8,9,9,8,6,5
2092,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,0,2,2,2,3,4,3,3,2,2,2,3,3,3,3,2,0,0,1,1,1,1,1,1,3,3
2111,0,2,1,3,5,3,2,2,2,2,2,2,3,3,3,3,6,6,6,7,6,7,9,7,6,4
2200,0,4,6,13,15,15,13,9,8,7,6,4,3,3,3,2,1,2,2,2,3,3,3,3,2,2
2211,0,4,7,11,10,9,10,10,8,7,6,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2
2221,0,5,2,3,7,7,6,6,5,5,5,5,6,7,7,4,4,4,4,4,4,4,3,2,1,2
2250,0,2,4,5,5,6,6,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2253,0,1,2,4,7,9,10,7,6,6,6,6,6,4,3,2,1,1,1,1,1,1,1,0,0,0
2273,0,2,0,2,5,6,6,6,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
2300,0,2,4,12,16,16,16,13,13,12,12,13,12,13,14,17,16,18,17,17,16,15,13,11,10,11
2320,0,7,5,14,19,20,19,20,19,18,17,15,12,11,9,8,8,8,8,8,8,8,7,8,7,7
2330,0,3,5,10,23,19,19,16,15,13,13,13,12,11,11,8,8,7,6,5,6,6,6,6,5,3
2340,0,0,2,5,7,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1
2390,0,0,0,3,7,7,6,5,5,6,6,5,3,2,2,3,2,1,0,0,0,0,1,0,0,0
2400,0,2,2,8,11,9,7,7,6,6,6,4,3,4,4,6,6,5,5,6,5,5,4,4,4,4
2421,0,4,1,5,6,6,5,5,5,4,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,1
2430,0,2,1,3,4,5,5,3,4,6,5,5,5,5,4,4,5,5,5,5,5,7,7,6,7,6
2451,0,2,4,7,6,6,6,6,5,4,5,4,4,4,4,4,5,3,3,2,3,3,3,3,2,2
2452,0,0,2,3,8,6,7,7,4,5,5,4,2,2,2,2,1,2,1,0,0,0,0,1,1,0
2510,0,6,5,11,14,14,12,11,12,11,10,11,9,9,9,9,9,9,9,10,10,7,8,9,9,9
2511,0,1,2,6,9,9,7,7,6,6,5,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3
2520,0,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
2522,0,0,1,2,3,2,3,4,4,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
2531,0,1,0,3,4,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1
2540,0,0,1,2,2,2,1,2,2,2,2,2,2,0,1,1,0,1,1,1,1,1,0,0,0,0
2590,0,0,0,2,5,4,4,3,4,4,3,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1
2600,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
2611,0,1,1,2,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1
2621,0,15,4,17,18,15,16,15,10,10,8,8,7,10,11,13,14,14,12,10,10,12,12,10,9,9
2631,0,7,3,7,9,9,9,9,7,5,5,5,5,4,4,4,5,4,3,0,1,1,1,1,1,1
2650,0,0,1,3,7,7,8,9,9,10,11,7,7,7,6,6,5,5,6,6,6,4,5,6,5,4
2670,0,6,8,13,19,17,14,12,9,7,7,8,9,10,10,12,12,12,11,11,10,4,6,6,6,4
2673,0,0,0,2,4,4,5,4,3,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0
2711,0,15,9,17,16,19,20,21,19,19,20,21,21,20,20,21,17,16,14,12,11,12,12,12,10,10
2721,0,3,2,4,11,13,14,13,15,12,10,8,8,7,6,7,8,7,7,5,5,2,4,3,3,3
2731,0,2,6,10,11,12,10,11,11,9,7,9,8,7,4,4,4,4,3,3,3,3,3,3,3,3
2732,0,2,2,3,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0
2741,0,0,1,3,2,4,3,4,5,4,4,4,5,3,4,5,6,5,4,3,2,1,2,3,3,1
2750,0,3,4,13,22,22,23,22,20,18,19,14,13,12,10,7,9,10,11,11,11,8,7,6,6,7
2761,0,6,8,8,7,7,7,8,5,7,5,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1
2771,0,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
2780,0,2,0,5,4,5,5,5,3,3,3,3,3,4,4,3,3,3,2,2,2,2,2,2,1,1
2790,0,0,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0
2800,0,8,3,8,8,8,10,13,14,14,16,13,13,14,15,16,16,15,15,13,12,13,12,14,15,15
2810,0,6,6,14,17,15,15,18,16,19,20,16,17,15,17,18,17,14,13,12,13,13,11,10,10,10
2820,0,2,1,2,4,3,2,2,2,2,2,3,3,4,4,5,4,5,5,5,5,6,7,6,7,6
2821,0,6,7,11,13,15,14,14,12,13,12,11,10,11,10,9,12,13,12,13,12,11,12,12,11,10
2833,0,0,0,5,9,12,15,15,15,15,13,12,12,12,11,9,14,16,14,13,14,12,15,14,12,12
2834,0,17,25,72,143,154,152,144,151,150,152,161,181,191,209,229,253,245,258,264,261,311,343,365,367,386
2835,0,1,13,37,50,50,43,43,39,45,44,41,37,31,24,25,30,28,23,22,23,26,25,24,24,21
2836,0,1,8,20,76,77,76,72,74,85,82,78,83,82,76,78,77,69,66,65,64,71,76,78,81,83
2840,0,4,1,3,7,6,6,7,6,5,5,6,5,5,5,5,6,6,5,5,5,4,5,5,5,5
2842,0,3,3,5,4,5,4,3,3,3,2,2,2,2,3,3,4,4,6,6,3,4,2,2,2,2
2844,0,3,7,15,21,25,24,24,18,16,15,15,14,16,17,17,18,18,14,14,14,17,19,16,13,14
2851,0,5,5,7,8,9,9,10,7,7,7,5,4,6,6,6,6,5,6,6,6,5,6,6,5,4
2860,0,2,2,8,11,12,12,12,10,9,8,8,11,13,17,27,38,38,38,36,34,33,30,31,29,28
2870,0,2,5,7,8,9,10,11,12,13,10,11,9,12,12,13,18,17,16,14,17,15,14,15,15,13
2890,0,6,5,10,17,19,16,17,14,15,13,15,13,12,14,14,16,17,14,12,12,13,13,14,13,11
2891,0,1,2,4,3,4,5,6,5,5,5,3,2,2,1,1,2,2,2,2,2,2,2,3,2,2
2911,0,13,11,16,22,27,25,22,18,17,14,13,13,15,17,19,21,17,17,16,18,21,19,19,16,14
2950,0,0,2,3,3,2,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0
2990,0,1,0,1,2,3,3,3,4,4,4,3,2,2,2,3,3,2,2,2,3,2,2,3,3,3
3011,0,2,1,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,2
3021,0,1,2,6,9,8,8,8,8,7,7,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3
3050,0,0,2,2,3,3,3,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
3060,0,3,4,9,13,9,10,7,8,7,7,10,8,7,7,8,8,7,7,6,6,6,6,5,4,4
3080,0,1,1,8,10,7,8,10,9,5,7,6,5,5,4,2,4,6,6,5,4,4,4,4,4,4
3081,0,3,4,8,11,11,9,7,7,5,6,4,5,4,5,4,5,6,5,5,5,5,4,4,3,1
3086,0,0,1,1,4,7,7,9,7,6,6,6,5,5,2,3,2,4,4,4,4,4,4,4,3,3
3089,0,5,10,24,29,29,27,26,26,28,29,26,26,20,22,17,18,14,13,14,11,11,11,11,12,12
3100,0,0,1,4,5,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,4,4
3140,0,5,5,10,18,19,19,17,16,14,15,15,14,13,13,12,12,13,13,10,8,6,6,6,6,6
3211,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
3220,0,1,1,1,5,6,6,5,4,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2
3221,0,2,0,3,2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
3231,0,0,0,3,2,1,3,4,5,3,1,2,1,1,1,1,2,2,1,3,3,2,2,2,2,2
3241,0,4,2,5,7,7,6,5,3,3,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1
3250,0,1,1,1,2,2,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
3260,0,0,0,1,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
3270,0,2,2,3,6,6,5,5,5,6,7,6,6,6,6,3,3,4,4,3,3,4,4,3,4,3
3272,0,1,1,1,0,0,0,1,0,0,0,1,1,2,2,3,3,4,3,3,3,3,3,3,3,2
3281,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3290,0,0,1,3,9,8,9,9,7,5,5,3,3,2,3,4,3,4,3,3,2,2,4,4,3,2
3310,0,2,5,7,9,11,11,10,10,9,6,7,9,10,9,9,8,8,8,9,9,7,6,6,5,6
3312,0,18,21,30,37,35,30,31,24,20,18,16,15,15,14,12,10,11,11,12,13,12,12,11,11,9
3317,0,1,2,7,6,6,7,6,7,6,8,8,7,7,6,5,4,3,4,4,4,3,3,3,3,3
3320,0,3,3,5,4,4,4,3,3,3,2,2,2,1,3,3,1,3,1,1,1,1,1,0,0,0
3330,0,3,2,3,4,3,3,2,3,2,1,2,4,3,2,1,4,4,4,4,3,3,4,3,1,1
3334,0,4,2,4,7,6,6,6,5,4,5,4,4,4,3,2,3,2,2,2,2,2,2,2,1,2
3341,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,4,2,2,2,2
3350,0,3,1,5,13,12,13,11,9,10,9,10,9,9,9,9,9,9,9,9,9,10,9,8,9,8
3357,0,0,1,4,7,8,6,5,5,6,6,5,6,7,6,6,8,7,7,7,6,5,3,4,4,4
3360,0,1,1,2,3,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2
3390,0,1,1,3,2,3,4,4,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
3411,0,4,2,5,6,5,4,5,4,4,5,4,5,3,3,3,3,3,4,2,2,3,2,2,2,2
3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3420,0,4,3,9,17,16,13,13,13,11,11,10,9,9,9,9,11,10,10,10,10,10,10,10,9,9
3430,0,1,0,2,1,2,4,4,3,3,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2
3433,0,0,1,2,4,5,4,4,4,4,1,0,0,0,0,0,6,7,6,4,3,2,3,3,4,3
3440,0,3,0,6,7,7,9,7,7,6,5,5,4,3,3,4,6,3,3,4,5,5,4,5,6,5
3442,0,3,2,3,4,6,6,6,5,5,4,4,3,3,2,2,3,3,3,3,3,3,2,2,2,2
3443,0,2,0,8,9,10,9,10,7,7,7,8,5,4,4,4,4,4,6,5,5,5,5,4,5,5
3444,0,1,1,3,3,4,3,3,2,3,3,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0
3448,0,1,1,3,6,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2
3452,0,3,5,9,6,6,6,6,6,6,5,4,2,0,0,0,0,1,1,1,1,1,1,1,0,0
3460,0,5,6,11,13,14,12,10,10,7,6,6,5,5,5,6,6,5,5,4,4,3,4,4,4,4
3470,0,0,2,7,10,8,8,6,5,6,4,3,2,3,3,3,5,5,5,5,5,4,3,3,3,2
3480,0,0,1,4,4,4,4,5,4,5,5,8,6,7,6,6,8,7,6,6,6,5,6,6,5,5
3490,0,5,10,16,18,16,20,18,16,15,14,14,12,12,10,10,13,13,14,11,8,10,9,9,9,8
3510,0,4,5,6,8,8,6,6,4,6,6,6,6,7,5,5,8,9,10,14,14,15,12,11,11,8
3523,0,3,4,6,10,11,12,11,9,8,8,7,6,6,6,5,5,5,5,5,6,6,6,6,5,5
3524,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3530,0,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1
3531,0,2,3,8,12,12,9,8,10,9,8,8,9,7,6,5,5,7,8,8,8,8,6,6,6,7
3532,0,0,0,0,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0
3533,0,2,3,6,6,7,9,9,11,14,13,12,12,14,16,16,16,15,13,13,12,13,16,16,14,17
3537,0,3,1,4,6,6,6,5,4,4,5,4,4,5,4,3,4,4,4,4,4,4,2,2,2,2
3540,0,4,6,12,13,10,11,10,10,9,7,8,7,6,5,6,6,6,5,5,6,6,5,7,6,6
3541,0,1,1,5,6,6,6,4,5,4,3,3,3,3,3,3,4,4,2,3,3,3,2,2,2,2
3550,0,0,3,5,7,9,8,8,6,7,6,4,4,3,3,3,6,6,5,5,5,5,5,5,5,4
3555,0,1,4,5,6,6,6,5,4,3,2,3,3,3,4,3,3,2,2,1,1,1,1,1,1,1
3559,0,5,8,39,53,54,49,47,43,39,38,33,28,27,25,26,29,29,25,23,23,21,20,20,17,15
3560,0,1,4,7,11,11,10,10,10,7,8,8,8,8,7,7,7,5,5,5,6,5,5,5,5,7
3561,0,2,7,9,11,9,8,7,7,6,7,7,6,7,7,8,9,9,9,9,8,8,8,8,6,6
3562,0,3,2,4,5,6,5,5,4,4,5,3,3,4,4,4,4,4,4,4,4,3,3,3,2,2
3564,0,2,3,9,13,12,11,10,10,9,10,7,6,6,6,6,8,8,7,8,8,6,6,6,4,6
3567,0,0,1,3,4,5,2,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3569,0,2,3,8,12,11,10,9,6,7,6,5,4,4,4,8,9,9,8,8,8,7,7,6,4,4
3570,0,6,7,6,8,6,5,7,8,6,4,3,3,4,5,5,7,7,6,5,5,6,7,7,5,5
3571,0,13,13,21,24,27,22,20,21,21,19,18,14,13,13,13,16,14,10,9,9,8,8,9,8,10
3572,0,5,6,13,22,22,21,19,16,17,19,16,18,17,15,15,17,17,13,13,12,11,10,9,6,4
3575,0,1,2,6,5,5,4,6,7,6,4,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0
3576,0,0,2,17,52,48,45,40,40,38,33,31,29,25,27,26,28,26,24,24,21,22,22,17,14,13
3577,0,11,27,46,64,68,66,68,54,46,40,32,31,27,24,20,21,20,20,22,22,20,16,16,15,13
3578,0,0,2,6,9,9,10,8,5,7,7,6,9,8,8,8,9,9,7,7,6,6,5,5,5,3
3579,0,2,2,7,11,10,8,8,6,4,4,3,4,2,2,4,3,1,1,1,1,1,1,1,1,1
3580,0,2,4,9,13,13,9,8,9,8,6,5,4,4,4,5,6,6,6,6,6,7,6,5,6,6
3585,0,8,6,14,14,15,15,14,11,10,10,10,11,9,6,4,4,4,3,3,6,6,6,5,4,3
3590,0,4,5,7,14,15,15,14,11,13,9,9,7,7,5,5,6,5,5,5,6,5,5,5,5,4
3600,0,2,1,3,2,2,2,3,2,2,2,2,4,4,4,3,4,4,3,2,2,2,1,2,2,1
3612,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,2,2,2
3613,0,0,1,3,5,5,5,5,5,5,4,3,3,3,4,4,4,4,3,3,2,2,2,2,2,2
3620,0,2,6,10,10,12,12,12,9,6,6,6,5,6,5,5,5,5,6,7,7,7,7,7,6,5
3621,0,6,4,8,10,11,10,10,12,10,9,8,7,7,7,7,10,13,10,9,8,8,7,8,8,7
3630,0,1,2,2,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,5,5,5,5
3634,0,1,0,5,10,8,7,7,6,6,6,5,5,5,5,5,4,2,4,4,3,2,2,2,1,2
3640,0,4,9,15,23,26,22,21,20,18,17,13,15,13,10,9,12,13,13,16,13,11,15,11,11,9
3651,0,2,4,10,15,14,16,16,13,15,15,11,12,9,9,11,11,10,9,8,7,8,8,7,5,6
3652,0,0,2,5,6,5,6,6,5,5,7,5,3,3,1,2,2,2,2,1,1,1,1,1,1,1
3661,0,5,5,37,57,54,60,55,63,55,52,45,40,33,30,32,34,37,31,30,26,24,23,21,18,18
3663,0,7,17,37,64,66,56,54,58,56,50,51,52,50,46,49,52,49,50,42,38,35,33,32,30,30
3669,0,2,5,11,20,23,21,18,18,18,17,17,17,15,17,22,42,39,37,28,28,24,26,20,17,15
3670,0,5,5,12,19,23,18,20,19,17,17,17,14,14,15,14,17,17,15,15,15,16,16,14,13,13
3672,0,1,7,20,26,27,22,20,23,22,18,19,19,17,18,18,17,16,16,15,16,16,15,15,14,14
3674,0,12,23,49,86,96,103,105,118,120,118,121,129,126,132,149,141,134,132,122,118,111,104,92,86,83
3677,0,0,0,2,2,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
3678,0,2,3,4,10,10,9,5,5,5,5,4,4,4,3,3,5,5,5,5,5,4,4,4,4,4
3679,0,4,12,33,34,33,27,29,30,31,26,23,23,20,18,24,26,26,26,23,23,22,20,15,15,15
3690,0,3,7,20,22,22,20,20,27,24,24,21,21,22,22,24,30,33,34,31,23,24,21,21,20,20
3695,0,0,0,3,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,1
3711,0,7,6,11,15,15,14,16,15,11,10,9,9,7,7,9,10,11,13,15,16,19,17,14,13,12
3713,0,0,0,4,6,5,5,4,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2
3714,0,9,14,32,43,42,42,39,38,42,36,39,38,39,36,38,45,45,42,41,46,47,46,41,40,37
