SICs,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3715,0,0,0,2,4,6,6,6,5,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
3716,0,2,3,5,6,6,6,5,7,6,6,6,5,5,5,4,3,3,2,2,2,2,2,2,2,2
3720,0,1,0,1,2,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,4,4
3721,0,4,2,4,5,4,4,3,4,4,3,3,3,3,4,4,5,5,4,5,2,3,2,3,3,3
3724,0,3,2,9,8,11,11,9,8,7,7,7,7,7,7,5,4,4,4,4,4,3,2,3,3,2
3728,0,6,5,6,4,6,6,7,8,7,8,10,10,12,12,11,11,10,9,8,9,9,9,9,10,6
3730,0,2,3,5,9,9,10,6,7,5,5,5,4,4,4,4,3,3,2,3,3,4,5,5,5,5
3743,0,2,2,3,6,6,6,5,4,3,4,5,5,7,7,7,6,6,5,5,5,5,5,5,5,5
3751,0,2,1,4,6,6,5,4,4,2,1,1,1,1,1,1,1,2,3,2,4,5,5,5,4,5
3760,0,2,4,6,3,3,4,4,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4
3790,0,0,0,2,3,4,5,5,5,6,4,4,3,3,3,3,4,4,4,3,3,3,3,3,2,2
3812,0,8,8,16,19,20,18,17,15,13,15,13,14,14,14,11,12,12,10,12,12,10,8,10,9,10
3821,0,1,5,5,5,6,6,8,8,7,8,7,5,5,5,5,6,5,4,4,5,5,5,4,4,3
3822,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,2,4,5,3,5,4,2,2,2
3823,0,4,7,21,24,25,24,26,18,19,18,15,14,13,11,13,19,20,19,18,17,19,19,18,18,17
3824,0,0,0,2,1,1,2,1,2,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,1,1
3825,0,10,17,26,39,36,36,34,37,31,31,27,26,30,29,26,23,23,21,20,19,18,17,16,15,12
3826,0,4,6,11,23,24,27,25,28,28,27,26,27,27,27,29,29,26,24,23,21,23,24,25,20,20
3827,0,0,4,7,14,11,13,10,10,12,12,11,10,7,8,7,8,8,8,8,8,6,6,5,5,4
3829,0,3,6,16,19,25,21,20,17,19,21,19,19,17,16,20,24,25,26,25,19,23,22,19,20,17
3841,0,5,15,34,63,65,62,58,61,55,50,51,54,70,79,92,115,105,104,96,94,93,105,111,107,104
3842,0,4,10,24,39,41,36,31,35,36,34,32,34,33,32,30,35,35,35,32,30,28,29,32,29,28
3843,0,0,3,4,6,7,8,5,5,3,4,4,4,4,4,4,6,6,6,8,6,6,6,5,4,4
3844,0,0,2,6,9,9,9,6,5,6,5,5,4,4,2,2,2,2,2,2,2,2,2,2,1,1
3845,0,1,14,40,80,77,66,59,61,57,58,50,56,45,44,49,63,53,49,46,44,43,45,43,41,38
3851,0,1,1,4,7,11,10,10,7,5,5,5,4,5,5,5,5,6,5,4,4,4,3,2,2,3
3861,0,3,2,14,20,19,18,16,17,15,15,16,13,12,10,8,9,8,8,8,6,7,7,6,5,6
3873,0,0,0,3,6,6,4,4,3,3,2,2,2,3,4,3,3,3,3,3,2,2,2,2,2,2
3910,0,1,2,1,2,3,3,3,3,3,3,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2
3911,0,3,3,5,6,5,4,4,4,5,4,3,3,2,3,4,4,3,2,1,1,1,1,0,0,0
3931,0,0,1,2,2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0
3942,0,1,0,2,4,4,4,4,3,4,4,3,3,3,2,3,4,3,3,2,2,2,1,1,1,1
3944,0,2,1,8,13,14,12,10,6,6,6,6,6,6,6,6,7,6,6,6,6,5,6,6,4,6
3949,0,2,2,14,23,22,21,23,21,17,17,12,9,9,8,7,9,9,9,8,8,7,7,6,7,6
3950,0,2,5,5,6,4,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3960,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990,1,4,6,11,15,18,19,18,17,14,14,12,14,15,15,21,24,24,22,22,18,15,14,12,12,11
4011,0,9,7,12,13,11,10,9,8,10,9,9,9,10,10,8,8,9,9,9,8,8,8,8,7,7
4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4100,0,0,0,2,4,5,5,4,3,2,3,3,3,4,3,3,2,2,1,1,1,0,0,0,0,0
4210,0,1,0,4,2,3,3,5,4,4,4,3,3,4,4,4,4,4,3,3,3,2,2,2,2,2
4213,0,8,10,23,44,45,43,40,39,31,28,30,30,25,23,20,19,19,20,19,20,18,18,15,14,15
4220,0,1,1,2,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0
4231,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4400,0,4,3,9,7,7,8,7,8,7,8,10,11,13,14,15,18,15,12,11,12,13,12,11,11,9
4412,0,4,0,3,4,4,5,5,4,4,5,5,5,8,9,8,6,8,8,7,6,6,8,8,7,7
4512,0,6,10,18,27,27,27,23,21,21,22,22,24,24,24,25,24,20,18,18,17,16,15,15,11,13
4513,0,2,1,4,3,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3
4522,0,3,3,7,5,6,5,3,3,5,5,6,7,7,7,5,6,6,7,5,6,7,6,6,5,4
4581,0,0,2,1,3,4,2,3,3,3,0,1,1,1,0,2,2,2,2,1,1,1,1,2,2,2
4610,0,1,1,2,5,3,5,2,6,7,7,6,8,9,10,9,12,9,9,10,13,15,17,16,17,15
4700,0,3,3,3,6,8,8,6,7,5,5,7,6,7,9,7,11,13,13,10,9,7,8,9,10,10
4731,0,1,0,7,9,10,12,10,6,7,7,9,9,11,11,10,13,14,15,14,13,13,10,9,8,10
4812,0,3,2,8,34,43,40,35,44,39,37,35,31,27,20,18,19,16,11,8,8,9,7,7,6,5
4813,0,47,17,60,80,94,91,97,102,83,78,69,67,61,58,60,67,59,55,53,47,44,40,39,35,30
4822,0,0,0,1,5,4,4,3,4,7,6,3,4,4,4,3,4,5,5,3,3,2,2,2,3,2
4832,0,2,0,5,12,16,21,25,22,17,18,16,15,14,14,12,13,11,11,12,12,11,13,13,10,11
4833,0,10,1,12,21,21,22,22,21,22,17,16,16,16,15,16,15,12,12,12,14,12,13,13,11,11
4841,0,8,5,18,33,33,34,35,35,27,27,24,21,20,22,18,21,22,21,23,23,24,24,26,19,23
4899,0,2,1,11,14,18,27,30,25,23,21,19,23,29,27,26,32,32,32,33,26,24,19,16,16,14
4900,0,1,1,0,2,2,1,1,1,1,2,3,3,3,3,3,3,3,4,3,3,5,5,8,9,9
4911,0,86,46,99,113,119,117,113,108,125,128,138,133,118,124,111,113,117,111,112,112,95,98,98,99,89
4922,0,19,11,19,23,22,22,23,25,24,25,30,25,31,26,26,32,33,33,31,32,34,34,33,32,29
4923,0,10,6,13,12,14,12,10,11,8,7,10,9,7,8,8,8,8,8,7,8,11,10,10,8,5
4924,0,24,27,40,38,34,39,25,23,22,23,25,26,26,22,20,17,20,21,17,18,15,15,15,13,15
4931,0,48,28,54,60,61,61,63,67,62,56,44,47,55,48,52,49,45,43,48,40,51,53,45,41,50
4932,0,0,1,2,0,1,3,3,4,4,3,6,3,3,3,4,5,4,3,3,3,8,8,9,6,8
4941,0,8,4,15,15,16,16,16,13,12,12,12,13,15,16,15,17,16,15,14,13,13,13,13,14,15
4950,0,0,1,6,1,1,1,1,2,2,2,1,1,0,0,0,3,4,6,5,8,7,7,7,3,3
4953,0,6,6,9,16,16,11,11,9,11,7,9,10,10,11,11,10,10,9,7,6,8,7,7,7,7
4955,0,2,6,15,29,27,23,19,19,14,11,9,9,9,7,9,13,11,9,8,9,12,10,9,9,7
4961,0,0,0,0,2,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
4991,0,2,1,5,14,11,11,7,5,6,5,4,5,4,3,4,5,3,3,3,3,3,2,2,2,2
5000,0,1,0,1,2,2,2,1,1,1,1,1,2,3,3,4,4,4,5,6,6,7,5,4,5,4
5010,0,0,1,2,2,2,4,6,6,3,3,4,5,4,4,3,5,4,3,4,4,4,4,3,4,2
5013,0,1,1,7,14,14,11,11,9,6,8,5,3,3,4,3,4,5,5,7,7,6,5,2,2,1
5020,0,0,1,1,2,2,3,3,2,2,2,1,2,1,1,2,4,3,3,2,2,1,1,0,1,1
5030,0,0,0,0,2,3,2,3,2,2,2,3,2,3,3,3,4,4,4,5,4,5,5,6,7,7
5031,0,0,0,2,3,3,4,3,3,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1
5040,0,1,0,2,8,8,9,9,9,8,5,6,5,4,1,1,1,1,1,1,1,1,1,1,1,0
5045,0,4,8,21,39,44,41,39,27,22,20,18,15,16,15,14,14,13,14,10,9,9,8,6,6,6
5047,0,1,2,10,15,9,11,8,10,12,13,10,9,10,11,9,10,10,8,9,9,8,7,7,6,6
5050,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0,0
5051,0,3,3,7,8,8,9,9,8,8,8,6,6,6,6,7,6,6,7,7,7,5,6,6,6,5
5063,0,4,4,6,6,6,6,7,6,4,4,3,5,5,7,6,7,8,6,6,7,6,6,6,5,5
5064,0,0,2,2,1,2,4,4,3,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1
5065,0,6,9,17,25,24,24,23,20,21,20,21,20,21,16,15,16,16,13,14,11,11,12,14,12,11
5070,0,5,2,7,7,7,7,7,6,7,7,10,11,8,5,5,4,4,4,4,3,3,2,1,1,1
5072,0,1,3,5,6,4,3,2,1,2,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,2
5080,0,4,5,7,11,12,9,10,11,10,10,9,9,8,6,6,6,7,5,5,5,5,5,5,5,5
5082,0,0,0,2,3,4,4,3,2,3,2,3,2,2,1,0,1,1,0,0,0,0,0,0,0,0
5084,0,1,1,4,10,12,10,8,5,5,7,5,4,5,5,4,3,3,3,4,4,4,4,5,4,4
5090,0,1,1,4,13,14,15,14,13,7,8,6,4,4,4,3,5,5,7,5,6,4,5,5,3,3
5094,0,0,0,1,1,2,3,3,3,3,3,3,3,4,3,3,1,0,1,2,1,1,1,1,1,0
5099,0,1,1,2,5,4,4,4,4,2,2,1,1,1,1,1,1,2,2,3,1,1,0,0,0,0
5110,0,3,4,8,11,9,9,7,6,5,4,3,3,2,2,2,2,2,3,3,2,2,3,3,2,3
5122,0,4,5,12,21,21,19,19,14,15,14,16,10,10,9,7,12,11,11,9,11,10,7,8,8,9
5130,0,0,0,1,3,2,4,7,6,3,2,4,3,4,3,4,3,3,3,3,3,3,3,3,3,2
5140,0,10,12,18,22,15,16,13,12,12,10,10,11,10,10,9,13,11,11,9,7,10,9,8,9,8
5141,0,2,4,6,12,12,13,9,8,6,6,5,7,6,6,6,6,6,7,8,8,6,7,9,9,9
5150,0,2,2,3,5,5,5,5,6,6,6,6,5,5,5,5,5,6,6,6,6,6,7,5,5,5
5160,0,3,4,7,9,10,10,10,10,11,8,6,7,6,6,5,5,5,6,7,6,6,4,4,5,4
5171,0,0,1,1,3,3,4,4,2,4,4,4,3,3,1,2,4,5,6,6,5,7,7,8,5,1
5172,0,1,4,7,10,8,9,9,9,8,5,5,5,5,5,4,5,5,6,4,6,8,5,4,4,5
5180,0,0,0,0,0,0,1,2,2,2,2,2,3,3,2,1,4,3,3,3,1,1,2,1,1,2
5190,0,2,2,7,18,19,18,20,15,14,12,10,12,11,7,8,10,7,8,7,7,7,6,4,2,2
5200,0,2,4,4,6,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,4
5211,0,5,5,6,9,7,10,10,10,6,5,3,3,4,4,6,6,5,7,8,8,8,8,6,7,6
5311,0,9,14,17,18,19,15,13,13,13,11,11,11,10,11,11,10,9,10,10,11,10,9,8,8,7
5331,0,8,14,16,25,23,21,20,18,18,17,15,15,12,15,14,15,14,14,11,13,12,11,12,12,11
5399,0,1,2,2,2,3,5,6,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5400,0,1,1,1,2,2,2,1,1,1,4,2,2,3,2,4,4,3,3,4,5,4,3,3,2,2
5411,0,26,22,31,44,37,32,26,22,23,21,17,17,17,15,13,14,14,16,16,16,14,16,13,11,10
5412,0,4,4,5,5,7,7,8,4,4,3,2,2,1,2,1,1,1,1,1,1,1,0,0,0,0
5500,0,0,2,6,12,14,12,12,17,16,18,16,16,16,16,15,15,16,15,16,17,17,16,17,16,16
5531,0,2,3,7,10,11,10,8,9,8,9,7,6,5,7,7,7,7,7,8,8,8,8,5,5,5
5600,0,1,2,5,9,9,7,8,8,8,7,8,7,9,10,11,14,15,19,19,18,18,14,13,12,12
5621,0,5,7,14,18,18,19,20,18,18,18,16,16,15,15,13,13,14,14,12,11,10,7,6,6,6
5651,0,6,8,12,21,24,23,19,20,19,19,19,17,16,16,15,13,13,13,13,14,15,14,13,13,13
5661,0,3,2,2,4,5,7,6,8,6,6,7,7,8,8,8,7,7,7,7,5,5,6,6,6,6
5700,0,1,3,3,13,9,10,8,6,6,6,6,6,5,6,6,5,6,7,6,6,6,6,6,7,7
5712,0,2,3,11,9,8,7,7,3,3,3,3,2,3,3,2,2,2,1,2,3,3,3,3,2,2
5731,0,2,5,11,11,11,10,10,9,8,9,8,7,7,6,6,6,7,6,8,7,6,5,4,3,3
5734,0,0,0,2,3,2,3,3,3,1,1,1,1,1,1,1,2,2,2,3,3,3,1,2,1,2
5735,0,0,4,2,6,5,7,9,8,7,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1
5810,0,0,0,2,3,4,3,2,3,4,2,2,3,6,7,8,12,11,10,11,11,12,9,9,7,10
5812,0,14,24,58,99,105,100,103,97,93,85,80,75,71,72,62,56,59,55,51,49,54,56,60,57,51
5900,0,1,2,6,11,13,10,10,8,8,10,8,7,8,8,9,16,16,22,20,19,16,18,16,15,14
5912,0,5,9,15,16,15,12,12,11,9,8,12,8,10,10,11,10,11,11,11,11,10,11,8,9,8
5940,0,3,5,9,21,20,21,21,19,19,20,20,20,20,19,16,19,18,18,15,14,13,13,10,10,7
5944,0,1,3,5,10,10,11,11,10,10,7,6,9,8,7,7,8,6,6,6,6,4,4,4,3,3
5945,0,0,1,2,2,2,3,5,4,4,3,2,3,4,5,5,4,5,5,4,3,2,3,3,3,2
5960,0,0,0,1,3,3,2,3,3,3,3,3,3,4,4,7,6,5,6,5,3,6,8,10,8,7
5961,0,4,6,20,36,36,37,39,35,34,27,23,20,23,18,15,14,16,17,16,18,17,16,16,15,17
5990,0,1,2,4,18,23,26,25,19,19,20,17,15,13,16,19,22,21,18,16,17,14,12,11,10,10
700,0,1,2,3,5,5,5,6,5,5,4,4,4,3,3,6,7,8,7,9,9,9,8,7,8,8
7000,0,0,0,2,3,6,4,5,4,2,1,1,1,0,0,0,1,1,1,1,1,1,2,2,3,3
7011,0,2,3,14,32,29,36,28,31,25,26,26,20,18,19,19,20,21,32,33,33,34,37,34,29,29
7200,0,5,7,10,17,21,19,22,22,18,20,18,25,23,22,23,27,28,26,28,26,26,22,20,16,18
7310,0,1,1,2,8,7,9,15,14,11,9,5,5,9,10,9,17,22,21,24,25,28,25,23,18,13
7311,0,4,0,5,9,9,10,11,10,9,10,11,11,10,9,11,9,10,11,11,15,16,12,12,10,9
7320,0,1,3,2,5,5,5,4,7,4,4,4,4,4,4,5,5,5,6,9,9,10,8,8,8,7
7330,0,0,0,1,2,1,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,3,3,3
7331,0,1,2,5,6,5,4,4,4,4,4,5,5,5,3,5,4,5,5,5,4,4,3,2,1,1
7340,0,1,2,3,3,5,6,5,5,4,3,4,3,4,3,4,6,5,6,4,6,5,2,2,2,3
7350,0,0,0,1,3,2,4,3,2,2,4,4,4,2,2,3,3,4,5,5,5,4,4,4,4,6
7359,0,2,6,14,27,26,28,24,22,21,17,15,14,12,14,14,16,16,16,16,14,17,19,18,17,15
7361,0,1,1,2,3,3,7,6,4,4,4,3,3,3,3,2,5,6,6,4,5,5,5,3,6,4
7363,0,2,4,16,33,37,35,31,31,29,29,29,25,25,26,29,29,25,20,21,22,22,22,21,19,19
7370,0,2,3,14,29,33,36,45,42,33,32,29,26,20,20,27,24,28,32,32,35,36,35,31,28,29
7371,0,0,1,15,30,43,48,60,65,58,52,44,44,42,40,46,45,39,37,31,32,30,31,29,24,22
7372,0,6,24,83,194,207,221,234,251,240,228,209,196,163,156,158,186,169,163,161,156,160,159,147,135,139
7373,0,8,23,55,95,103,105,127,117,109,100,82,72,69,58,61,68,60,54,54,51,48,47,41,38,37
7374,0,3,5,17,30,36,44,60,56,50,43,31,29,29,24,25,28,33,39,44,51,54,59,55,51,50
7377,0,3,2,2,7,5,6,4,4,1,2,2,1,1,1,2,1,1,1,2,1,1,1,0,0,0
7380,0,0,1,5,7,3,5,7,5,4,4,4,5,6,6,7,11,11,8,6,9,12,10,10,10,9
7381,0,1,1,3,5,7,7,7,4,5,6,2,2,2,2,4,5,3,2,3,3,5,5,3,5,6
7384,0,1,1,2,2,2,2,2,2,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
7385,0,0,2,3,6,5,6,6,8,7,4,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0
7389,0,2,5,24,40,50,56,161,188,162,140,118,113,106,112,132,169,161,157,150,145,136,125,108,97,89
7500,0,0,1,7,6,5,7,7,9,7,7,5,3,3,3,2,2,1,1,2,2,1,1,1,1,1
7510,0,3,2,5,7,7,11,10,10,10,7,6,5,5,5,6,6,6,8,10,8,6,6,6,5,5
7600,0,0,2,6,4,3,4,2,1,1,1,2,2,1,2,3,6,7,7,6,6,4,2,1,2,2
7812,0,4,3,8,17,15,18,16,12,14,14,7,8,10,7,10,15,14,16,19,16,12,9,8,7,5
7819,0,0,4,7,7,6,6,4,4,3,3,2,2,2,2,4,4,4,4,4,1,2,3,4,2,3
7822,0,2,2,3,6,5,4,6,3,4,3,2,2,2,2,2,3,3,3,3,2,1,1,2,2,2
7830,0,1,1,3,10,11,10,10,9,6,6,6,6,6,5,6,8,8,7,8,7,8,9,7,6,6
7841,0,1,0,0,6,5,4,5,3,4,5,4,4,3,3,3,3,3,3,2,2,1,1,2,2,2
7900,0,1,3,6,11,13,14,16,14,15,16,11,12,10,12,16,21,17,16,15,15,14,13,11,10,12
7948,0,3,3,9,12,12,12,12,11,9,8,8,6,6,6,5,5,6,7,6,5,5,3,3,5,4
7990,0,11,12,28,44,49,48,47,46,38,39,38,30,28,25,24,31,30,15,12,10,10,10,11,13,11
7997,0,0,1,2,2,2,3,3,2,3,2,2,5,5,4,3,4,4,4,4,3,4,3,3,3,2
800,0,2,0,3,3,3,3,3,4,4,4,2,3,2,1,2,4,3,4,4,3,2,1,1,1,1
8000,0,0,0,1,4,4,6,5,8,9,7,6,5,5,5,4,4,3,5,4,5,5,4,3,2,2
8011,0,1,3,5,9,10,9,9,9,8,6,7,6,5,4,4,6,6,6,5,4,3,4,2,2,2
8050,0,1,1,1,12,11,13,10,8,8,8,7,6,7,7,8,8,7,7,7,6,5,4,4,4,4
8051,0,4,3,10,23,21,18,17,15,12,12,13,9,8,6,6,6,6,6,6,5,5,5,5,5,5
8060,1,5,4,8,12,11,10,12,10,7,7,6,4,5,6,6,5,7,8,8,8,7,5,7,6,6
8062,0,6,2,7,7,9,9,8,9,12,10,11,11,10,12,10,11,11,11,12,11,13,12,12,9,10
8071,0,1,3,10,25,26,25,24,26,20,15,15,15,15,13,13,14,14,11,11,9,13,18,18,20,20
8082,0,0,3,14,24,17,18,19,16,12,14,13,12,16,15,11,8,10,9,8,7,7,6,6,6,6
8090,0,0,4,8,20,20,23,25,20,20,20,19,17,18,13,17,18,20,16,13,12,14,12,12,12,11
8093,0,0,2,7,18,22,20,19,19,17,14,13,12,12,11,8,12,12,9,10,8,8,9,7,7,6
8111,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1
8200,0,3,3,12,19,21,25,28,26,22,21,22,20,20,21,20,28,33,35,34,29,32,26,21,19,20
8300,0,1,2,1,5,6,3,2,2,2,3,4,4,2,3,3,4,4,4,4,3,3,1,1,1,1
8351,0,0,0,4,4,5,3,3,3,2,3,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1
8600,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0
8700,0,2,3,5,11,13,15,13,13,11,8,7,7,7,6,6,6,6,6,5,6,3,4,3,3,2
8711,0,6,12,24,25,24,21,21,18,16,16,13,14,10,16,15,14,16,18,16,16,15,13,12,11,9
8731,0,0,5,14,35,37,40,41,61,40,41,37,35,35,33,36,35,30,30,26,25,25,28,26,27,27
8734,0,0,3,7,8,9,8,8,7,6,5,5,3,2,4,5,7,6,6,3,4,1,1,1,2,2
8741,0,0,0,6,9,15,15,11,8,14,10,11,11,12,12,11,15,13,16,11,8,9,7,8,8,8
8742,0,0,1,4,16,19,23,26,27,28,28,28,25,25,28,27,38,34,31,31,30,28,33,34,29,23
8744,0,2,1,7,8,10,8,6,6,3,3,5,3,3,3,3,3,3,2,2,1,1,1,1,1,1
8900,0,0,0,0,4,5,5,4,4,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,1,1
900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,1,1,3,3,4,4
9995,0,0,1,8,12,10,9,15,15,9,3,4,4,4,3,4,19,11,8,6,7,5,4,2,2,0
